key,collection_date,Air Temperature [p:707],Bacteria Sample Picture [f:748],Bacteria Threshold [p:1716],Boating Conditions [p:714],Conductivity [p:709],Current Site Conditions Photo [f:749],Duplicate Bacteria Concentration [f:751],Duplicate Bacteria Photo [f:2925],E Coli Concentration [p:711],E Coli Count [p:712],Enterococcus Bacteria Concentration [p:1690],Gauge Height [p:715],Salinity [p:1715],Site conditions and comments [f:750],Turbidity [p:710],Water Temperature [p:708],latitude,longitude,owner_id,owner_first_name,owner_last_name,certified,certifier_id,certifier_first_name,certifier_last_name,dataset_id,dataset_name,dataset_key,station_id,station_name
299294d91eb82287,2013-05-21 00:00:00.000000,31.0,,,,,,,,2.0,67.0,,,,,2.97,21.0,37.797533,-78.49055,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J30,James River at Scottsville
ae2bd8ea37f428fc,2013-05-22 00:00:00.000000,23.0,,,,,,,,2.0,67.0,,,,,1.49,21.0,37.529933,-79.679078,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J40,James River at Buchanan
9cb56b6d3b5543cd,2013-05-23 00:00:00.000000,22.0,,,,,,,,1.0,34.0,,,,,7.47,21.5,37.41605,-79.13675,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J35,James River at Lynchburg
60b32bf452aa58f1,2013-05-30 00:00:00.000000,30.5,,,,,,,,3.0,100.0,,,,,1.71,26.5,37.530947,-77.431925,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J10,James River at 14th Street
7f99722076b65763,2013-05-30 00:00:00.000000,30.0,,,,,,,,0.0,34.0,,,,,2.5,26.5,37.530947,-77.431925,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J15,
8805706d53bc9fe6,2013-05-30 00:00:00.000000,30.0,,,,,,,,0.0,34.0,,,,,5.22,25.5,37.6661,-77.888811,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J25,James River at Maidens
9ab4a201ad251cdf,2013-05-30 00:00:00.000000,26.0,,,,,,,,3.0,100.0,,,,,0.95,23.0,37.529933,-79.679078,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J40,James River at Buchanan
b55e384b137debeb,2013-05-30 00:00:00.000000,23.8,,,,,,,,8.0,267.0,,,,,3.95,23.8,37.311187,-77.297991,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,A02,Appomattox River at Hopewell
b71666b120251adc,2013-05-30 00:00:00.000000,28.0,,,,,,,,0.0,34.0,,,,,2.21,21.0,37.41605,-79.13675,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J35,James River at Lynchburg
de221fa246470f5a,2013-05-30 00:00:00.000000,29.5,,,,,,,,2.0,67.0,,,,,1.98,26.5,37.534353,-77.445372,1216,Water Reporter,Team,True,1216.0,Water Reporter,Team,863,Swimming Conditions,d0edd64e15a8916b,J20,James River at Tredegar Beach
