"station_id","station_name","latitude","longitude","Date","E Coli Concentration ","Enterococcus Bacteria Concentration ","Air Temperature ","Water Temperature ","Turbidity "
"J30","James River at Scottsville",37.797533,-78.49055,2013-05-21 00:00:00,2,NA,31,21,2.97
"J40","James River at Buchanan",37.529933,-79.679078,2013-05-22 00:00:00,2,NA,23,21,1.49
"J35","James River at Lynchburg",37.41605,-79.13675,2013-05-23 00:00:00,1,NA,22,21.5,7.47
"J10","James River at 14th Street",37.530947,-77.431925,2013-05-30 00:00:00,3,NA,30.5,26.5,1.71
"J15",NA,37.530947,-77.431925,2013-05-30 00:00:00,0,NA,30,26.5,2.5
"J25","James River at Maidens",37.6661,-77.888811,2013-05-30 00:00:00,0,NA,30,25.5,5.22
"J40","James River at Buchanan",37.529933,-79.679078,2013-05-30 00:00:00,3,NA,26,23,0.95
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-05-30 00:00:00,8,NA,23.8,23.8,3.95
"J35","James River at Lynchburg",37.41605,-79.13675,2013-05-30 00:00:00,0,NA,28,21,2.21
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-05-30 00:00:00,2,NA,29.5,26.5,1.98
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-05-30 00:00:00,8,NA,40,27,30.9
"J30","James River at Scottsville",37.797533,-78.49055,2013-05-30 00:00:00,2,NA,29.5,24,2.29
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-05-30 00:00:00,0,NA,25,25,19.1
"J20","James River at Tredegar Beach",37.534353,-77.445372,2013-06-06 00:00:00,0,NA,23,24,1.87
"A02","Appomattox River at Hopewell",37.311187,-77.297991,2013-06-06 00:00:00,6,NA,22,22.5,2.58
"J25","James River at Maidens",37.6661,-77.888811,2013-06-06 00:00:00,0,NA,23.7,24,4.26
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-06-06 00:00:00,1,NA,26,26,7.85
"J40","James River at Buchanan",37.529933,-79.679078,2013-06-06 00:00:00,60,NA,19,17,82
"J15",NA,37.530947,-77.431925,2013-06-06 00:00:00,0,NA,23,24.5,1.34
"J30","James River at Scottsville",37.797533,-78.49055,2013-06-06 00:00:00,1,NA,23.5,23,0.95
"J35","James River at Lynchburg",37.41605,-79.13675,2013-06-06 00:00:00,2,NA,19,23,1.73
"J10","James River at 14th Street",37.530947,-77.431925,2013-06-06 00:00:00,3,NA,23.5,24,1.03
"J05","James River at Jamestown Beach",37.2239,-76.788613,2013-06-06 00:00:00,1,NA,24,25,12.3
"J35","James River at Lynchburg",37.41605,-79.13675,2013-06-13 00:00:00,5,NA,26,19.5,17.4
"A01","Appomattox River at City Point",37.316523,-77.273569,2013-06-13 00:00:00,4,NA,31,25,24.1
