station_id,Parameter,ValueOne,ValueLabelOne,ValueOneColor,ValueTwo,ValueLabelTwo,ValueTwoColor
A08,E Coli Concentration,235,Pass,Green,235,Fail,Red
C05,E Coli Concentration,235,Pass,Green,235,Fail,Red
DC01,E Coli Concentration,235,Pass,Green,235,Fail,Red
H01,E Coli Concentration,235,Pass,Green,235,Fail,Red
H02,E Coli Concentration,235,Pass,Green,235,Fail,Red
J03,E Coli Concentration,235,Pass,Green,235,Fail,Red
J04,E Coli Concentration,235,Pass,Green,235,Fail,Red
J08,E Coli Concentration,235,Pass,Green,235,Fail,Red
J09,E Coli Concentration,235,Pass,Green,235,Fail,Red
J10,E Coli Concentration,235,Pass,Green,235,Fail,Red
J20,E Coli Concentration,235,Pass,Green,235,Fail,Red
J21,E Coli Concentration,235,Pass,Green,235,Fail,Red
J22,E Coli Concentration,235,Pass,Green,235,Fail,Red
J23,E Coli Concentration,235,Pass,Green,235,Fail,Red
J24,E Coli Concentration,235,Pass,Green,235,Fail,Red
J25,E Coli Concentration,235,Pass,Green,235,Fail,Red
J26,E Coli Concentration,235,Pass,Green,235,Fail,Red
J29,E Coli Concentration,235,Pass,Green,235,Fail,Red
J30,E Coli Concentration,235,Pass,Green,235,Fail,Red
J35,E Coli Concentration,235,Pass,Green,235,Fail,Red
J40,E Coli Concentration,235,Pass,Green,235,Fail,Red
M05,E Coli Concentration,235,Pass,Green,235,Fail,Red
R20,E Coli Concentration,235,Pass,Green,235,Fail,Red
R23,Enterococcus Bacteria Concentration,235,Pass,Green,235,Fail,Red
CC01,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
CC02,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
C01,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
J05,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
P05,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
VDH-AP,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
VDH-HB,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
VDH-HTP,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
VDH-KL,Enterococcus Bacteria Concentration,104,Pass,Green,104,Fail,Red
